( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 163, y: 38.54166 } )
( drag,{ x: 139, y: 102.54166 } )
( drag,{ x: 91, y: 192.54166 } )
( drag,{ x: 82, y: 198.54166 } )
( drag,{ x: 135, y: 86.54166 } )
( drag,{ x: 163, y: 30.54166 } )
( drag,{ x: 166, y: 28.54166 } )
( drag,{ x: 151, y: 44.54166 } )
( drag,{ x: 115, y: 85.54166 } )
( drag,{ x: 108, y: 86.54166 } )
( drag,{ x: 163, y: 9.54166 } )
( drag,{ x: 182, y: -17.45834 } )
( drag,{ x: 188, y: -23.45834 } )
( drag,{ x: 155, y: 12.54166 } )
( drag,{ x: 128, y: 40.54166 } )
( drag,{ x: 126, y: 40.54166 } )
( drag,{ x: 152, y: 9.54166 } )
( drag,{ x: 159, y: 2.54166 } )
( drag,{ x: 143, y: 24.54166 } )
( drag,{ x: 123, y: 52.54166 } )
( drag,{ x: 111, y: 64.54166 } )
( drag,{ x: 123, y: 48.54166 } )
( up, { x: 123, y: 48.54166 } )
( down,{ x: 106, y: 64.54166 } )
( drag,{ x: 106, y: 62.54166 } )
( drag,{ x: 106, y: 52.54166 } )
( drag,{ x: 106, y: 44.54166 } )
( drag,{ x: 106, y: 37.54166 } )
( drag,{ x: 104, y: 38.54166 } )
( drag,{ x: 88, y: 57.54166 } )
( drag,{ x: 60, y: 94.54166 } )
( drag,{ x: 38, y: 126.54166 } )
( drag,{ x: 38, y: 124.54166 } )
( drag,{ x: 59, y: 97.54166 } )
( drag,{ x: 96, y: 60.54166 } )
( drag,{ x: 115, y: 45.54166 } )
( drag,{ x: 123, y: 36.54166 } )
( drag,{ x: 128, y: 29.54166 } )
( drag,{ x: 128, y: 28.54166 } )
( drag,{ x: 128, y: 22.54166 } )
( drag,{ x: 143, y: -2.45834 } )
( drag,{ x: 158, y: -15.45834 } )
( drag,{ x: 159, y: -13.45834 } )
( drag,{ x: 158, y: 5.54166 } )
( drag,{ x: 147, y: 32.54166 } )
( drag,{ x: 142, y: 41.54166 } )
( drag,{ x: 142, y: 38.54166 } )
( drag,{ x: 167, y: 9.54166 } )
( drag,{ x: 179, y: -1.45834 } )
( drag,{ x: 180, y: -1.45834 } )
( drag,{ x: 164, y: 16.54166 } )
( drag,{ x: 158, y: 25.54166 } )
( drag,{ x: 158, y: 24.54166 } )
